"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\api\fetchData.js", "JavaScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\api\fetchHeaderImages.js", "JavaScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\api\fetchRegister.js", "JavaScript", 0, 10, 0, 0, 0, 4, 14
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Article.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 6, 45
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Featured.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 8, 60
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Footer.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 7, 46
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Header.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 5, 29
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Headline.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 6, 49
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Menu.jsx", "JavaScript JSX", 0, 0, 45, 0, 0, 8, 53
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Search.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 4, 29
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Spotlight.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 8, 59
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\TitlePicture.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 8, 59
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\Trending.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 11, 63
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\category\Banner.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 6, 44
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\category\CardMain.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 5, 39
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\category\CardSecondary.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 7, 46
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\components\category\Layout.jsx", "JavaScript JSX", 0, 0, 44, 0, 1, 5, 50
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\helpers\slug.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\helpers\toggleBodyScroll.js", "JavaScript", 0, 11, 0, 0, 1, 4, 16
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\helpers\useDeviceSize.js", "JavaScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\helpers\useScroll.js", "JavaScript", 0, 19, 0, 0, 0, 7, 26
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\next.config.cjs", "JavaScript", 0, 21, 0, 0, 3, 3, 27
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\package-lock.json", "JSON", 1420, 0, 0, 0, 0, 1, 1421
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\package.json", "JSON", 28, 0, 0, 0, 0, 1, 29
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\pages\[category]\ArtsEntertainment.jsx", "JavaScript JSX", 0, 0, 57, 0, 1, 16, 74
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\pages\[category]\BusinessEconomy.jsx", "JavaScript JSX", 0, 0, 57, 0, 1, 13, 71
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\pages\[category]\California.jsx", "JavaScript JSX", 0, 0, 57, 0, 1, 14, 72
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\pages\[category]\FoodWine.jsx", "JavaScript JSX", 0, 0, 57, 0, 1, 15, 73
"c:\Users\oracl\Documents\repos\working-projects\temecula-tribune\pages\[category]\LocalNews.jsx", "JavaScript JSX", 0, 0, 57, 0, 1, 14, 72
